,Name,Date,Departure,Arrival,Source,Destination,Stops,Duration,Price
752,IndiGo,23 Mar,01:40,08:15,Patna,Bangalore,1 Stop,6h 35m,"4,001"
753,IndiGo,23 Mar,08:25,15:25,Patna,Bangalore,1 Stop,7h 00m,"4,001"
754,IndiGo,23 Mar,10:45,18:30,Patna,Bangalore,1 Stop,7h 45m,"4,001"
755,IndiGo,23 Mar,01:40,09:35,Patna,Bangalore,1 Stop,7h 55m,"4,001"
756,IndiGo,23 Mar,10:45,19:35,Patna,Bangalore,1 Stop,8h 50m,"4,001"
757,IndiGo,23 Mar,01:40,10:35,Patna,Bangalore,1 Stop,8h 55m,"4,001"
758,IndiGo,7 Apr,04:50,10:15,Pune,Lucknow,1 Stop,5h 25m,"4,077"
759,Air India,7 Apr,07:40,13:25,Pune,Lucknow,1 Stop,5h 45m,"4,077"
760,IndiGo,7 Apr,11:05,17:40,Pune,Lucknow,1 Stop,6h 35m,"4,077"
761,IndiGo,7 Apr,07:20,14:35,Pune,Lucknow,1 Stop,7h 15m,"4,077"
762,IndiGo,7 Apr,05:45,13:30,Pune,Lucknow,1 Stop,7h 45m,"4,077"
763,IndiGo,7 Apr,04:50,14:35,Pune,Lucknow,1 Stop,9h 45m,"4,077"
764,IndiGo,7 Apr,00:45,10:35,Pune,Lucknow,1 Stop,9h 50m,"4,077"
765,Air India,7 Apr,07:40,19:40,Pune,Lucknow,1 Stop,12h 00m,"4,077"
766,Air India,7 Apr,18:50,13:25 + 1 day,Pune,Lucknow,1 Stop,18h 35m,"4,077"
767,Air India,7 Apr,18:50,19:40 + 1 day,Pune,Lucknow,1 Stop,24h 50m,"4,077"
768,Go First,22 Mar,20:55,22:55,Pune,New Delhi,Non Stop,2h 00m,"2,564"
769,IndiGo,22 Mar,20:30,22:40,Pune,New Delhi,Non Stop,2h 10m,"2,564"
770,Go First,22 Mar,19:10,21:30,Pune,New Delhi,Non Stop,2h 20m,"2,564"
771,Air Asia,22 Mar,01:30,03:35,Pune,New Delhi,Non Stop,2h 05m,"2,565"
772,Air Asia,22 Mar,17:55,20:10,Pune,New Delhi,Non Stop,2h 15m,"2,565"
773,IndiGo,22 Mar,23:55,02:05 + 1 day,Pune,New Delhi,Non Stop,2h 10m,"2,798"
774,IndiGo,22 Mar,02:00,04:15,Pune,New Delhi,Non Stop,2h 15m,"2,798"
775,IndiGo,22 Mar,04:55,07:10,Pune,New Delhi,Non Stop,2h 15m,"2,798"
776,IndiGo,22 Mar,16:15,18:30,Pune,New Delhi,Non Stop,2h 15m,"2,798"
777,SpiceJet,22 Mar,06:25,09:00,Pune,New Delhi,Non Stop,2h 35m,"2,909"
778,Air India,4 Apr,16:55,19:50,Chennai,New Delhi,Non Stop,2h 55m,"2,271"
779,Air India,4 Apr,09:55,12:55,Chennai,New Delhi,Non Stop,3h 00m,"2,271"
780,IndiGo,4 Apr,17:00,23:05,Chennai,New Delhi,1 Stop,6h 05m,"2,271"
781,IndiGo,4 Apr,22:30,01:25 + 1 day,Chennai,New Delhi,Non Stop,2h 55m,"2,329"
782,SpiceJet,4 Apr,07:05,09:50,Chennai,New Delhi,Non Stop,2h 45m,"2,566"
783,SpiceJet,4 Apr,22:05,00:50 + 1 day,Chennai,New Delhi,Non Stop,2h 45m,"2,566"
784,IndiGo,4 Apr,18:15,21:05,Chennai,New Delhi,Non Stop,2h 50m,"2,750"
785,IndiGo,4 Apr,19:35,22:30,Chennai,New Delhi,Non Stop,2h 55m,"2,750"
786,Vistara,4 Apr,10:45,13:30,Chennai,New Delhi,Non Stop,2h 45m,"2,777"
787,Vistara,4 Apr,17:25,20:10,Chennai,New Delhi,Non Stop,2h 45m,"2,777"
788,IndiGo,29 Mar,00:45,07:10,Pune,Kolkata,1 Stop,6h 25m,"4,319"
789,IndiGo,29 Mar,00:45,08:20,Pune,Kolkata,1 Stop,7h 35m,"4,319"
790,Air Asia,29 Mar,11:50,15:45,Pune,Kolkata,1 Stop,3h 55m,"4,447"
791,Air Asia,29 Mar,17:50,23:10,Pune,Kolkata,1 Stop,5h 20m,"4,447"
792,Air Asia,29 Mar,19:25,01:35 + 1 day,Pune,Kolkata,1 Stop,6h 10m,"4,447"
793,Air Asia,29 Mar,11:50,19:20,Pune,Kolkata,1 Stop,7h 30m,"4,447"
